Ranking;Brand;Brand logo link;Model;Product link;Product image 1;Product image2;Product image 3;Product image 4;USB Hosts;PD Power;video mode;Designed for meetingrooms;Body;Displays;EDID;Replacable Host Cable;secure USB;Max Lenght USB-C on table;Assesories;PD Included;Description;Notes;Extra notes;MSRP;Price segment
80;Unisynk;https://unisynk.se/thumb/719/0x60/unisynk-logo-black.png;Pro AV Dock 100W;https://unisynk.se/sv-se/pro-av-docka/?srsltid=AfmBOoqIsRhQDRc-8NyK1TpCgroahrlDZhI-MpKuKkRCajm082CIptOt;https://unisynk.se/thumb/1394/1280x0/10451_1.png;https://unisynk.se/thumb/1395/0x0/10451_2.png;https://unisynk.se/thumb/1398/0x0/10451_5.png;https://unisynk.se/thumb/1396/0x0/10451_3.png;1;100w;DP-Alt mode;Yes;Thick Extruded Aluminium;2;Switch;Yes;Yes;5m;2, 3, 5m usb-c cable;no;Upgrade your conference room with this Pro AV dock for seamless device connection without having to install any drivers. A plug-and-play solution that allows users to connect their device, focus entirely on their presentation, and avoid technical hassles. Optimized display settings for all projectors and monitors. With EDID technology, our Pro AV dock ensures that the resolution remains optimal and unchanged at 1080p. The function can be easily turned off using a mechanical on/off button. The Pro AV dock automatically turns off when the user disconnects their computer. This also includes other connected technology, such as speakers, cameras, and monitors. Recommended for use with one of our lockable cables for Pro AV. The lock prevents accidental disconnection and ensures an uninterrupted user experience. The Pro AV dock is PVC-free.;Smart Powercycle, ensures product is allways rebooted for the next user, engenous design enshures no overheating, EDID switch is awesome, and the locking USB-Cable ensures that the cable does not unplug accidentaly.;NO plastic, 100% recuclable cardbord box and included velcro straps!;2400sek;Midrange
85;Unisynk;https://unisynk.se/thumb/719/0x60/unisynk-logo-black.png;Pro AV Dock 140W;https://unisynk.se/sv-se/pro-av-docka/?srsltid=AfmBOoqIsRhQDRc-8NyK1TpCgroahrlDZhI-MpKuKkRCajm082CIptOt;https://unisynk.se/thumb/1394/1280x0/10451_1.png;;;;1;140w;DP-Alt mode;Yes;Thick Extruded Aluminium;2;Switch;Yes;Yes;5m;2, 3, 5m usb-c cable;no;Upgrade your conference room with this Pro AV dock for seamless device connection without having to install any drivers. A plug-and-play solution that allows users to connect their device, focus entirely on their presentation, and avoid technical hassles. Optimized display settings for all projectors and monitors. With EDID technology, our Pro AV dock ensures that the resolution remains optimal and unchanged at 1080p. The function can be easily turned off using a mechanical on/off button. The Pro AV dock automatically turns off when the user disconnects their computer. This also includes other connected technology, such as speakers, cameras, and monitors. Recommended for use with one of our lockable cables for Pro AV. The lock prevents accidental disconnection and ensures an uninterrupted user experience. The Pro AV dock is PVC-free.;140W updated version! Smart Powercycle, ensures product is allways rebooted for the next user, engenous design enshures no overheating, EDID switch is awesome, and the locking USB-Cable ensures that the cable does not unplug accidentaly.;Updated 140w Version! NO plastic, 100% recuclable cardbord box and included velcro straps!;2400sek;Midrange
78;Ochno;https://www.ochno.com/wp-content/uploads/2023/06/Ochno-Horisontell.png;Power Conference 4 Node;https://www.ochno.com/products/ochno-power-conference-4-node/;https://www.ochno.com/wp-content/uploads/2024/08/Ochon-Power-Conference-4-Node-Back-Front-Black-Background.png;;;;1;100w;DP-Alt mode;Yes;basic bent sheet metal;1;Prorgamable;Yes;Yes;2m;Pullout socket 2m usb-c, usb-c sockets;Yes;;;;;Enterprise
88;Ochno;https://www.ochno.com/wp-content/uploads/2023/06/Ochno-Horisontell.png;O-PC-4 Power Conference 4;https://www.ochno.com/products/ochno-power-conference-4/;https://www.ochno.com/wp-content/uploads/2024/08/Ochno-Power-Conference-4-Angled-Front.png;;;;1-16*;100w;DP-Alt mode;Yes;okbasic bent sheet metal;2;Programable;Yes;Yes;2m;Pullout socket 2m usb-c, usb-c sockets, usb-c sockets wit programmable button;Yes;"Introducing the Ochno Power Conference 4, our next-generation solution for even more versatile meeting rooms. Enhanced daisy chaining capabilities allow seamless integration across multiple outlets, redefining connectivity for longer distance. Full–featured long–range USB–CAdapt and solve the needs of any room size, from huddle spaces to large conference rooms.Intelligent switch BYOD / MTR.Consistent and user-friendly in all BYOD and MTR rooms. Dual screen support.Consistent and user-friendly in all BYOD and MTR rooms. Dual screen support and long–range USB–C for longer distance meeting rooms. Daisy Chain for up to 16 host inputs.""";;up to 4 o-PC-4 can be connected to one O-PC-4 for 16 Inputs!!!;cloud is epic, but licence is mandatory for other than asset management.;Enterprise
40;HP;https://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/HP_logo_2012.svg/250px-HP_logo_2012.svg.png?20160215051833;USB-C Dock G5;https://www.hp.com/se-sv/shop/products/accessories/hp-usb-c-docka-g5-26d32aa-abb;https://www.hp.com/se-sv/shop/media/catalog/product/c/0/c06297741.png?store=se-sv&image-type=image&auto=avif&quality=100&format=jpg&bg-color=ffffff&type=image-product&width=100p&fit=bounds;https://hp.widen.net/content/ytartein7k/png/ytartein7k.png?w=1659&h=1246&dpi=72&color=ffffff00;https://hp.widen.net/content/z2fv8zpga7/png/z2fv8zpga7.png?w=1659&h=1246&dpi=72&color=ffffff00;;1;100w;DP-Alt mode;No;Premium plastic;2;No;No;Fixed;0.7m;;Yes;"Connect your USB-C®-enabled laptop to your displays, accessories, and wired network with the versatile, elegant, and space-saving HP USB-C® Dock G5.Compatibility without constraints. Designed with universal compatibility in mind, this dock works with both HP and non-HP USB-C®- and Thunderbolt™-enabled laptops. Clear the clutter. Avoid a messy desk by using a simple one-cord setup that plugs in multiple devices.""";;basic dock, Certified for Poly X Series videobars.;2000sek;Workplace
60;VivoLink;https://vivolink.net/images/vivolink.png?crc=183710039;VLUSBCHUB2;https://www.eetgroup.com/en-eu/vlusbchub2-vivolink-usb-c-hub-for-conference-system-wid-w127022550;https://product-images.eetgroup.com/images/1400px_jpg/Img_35671928.jpg;https://product-images.eetgroup.com/images/1400px_jpg/Img_35077507.jpg;;;1;100W;DisplayLink;Yes;Basic bent sheet metal;1;No;Yes;No;7.5m;;Yes;Vivolink 4K USB-C HUB – Your all-in-one solution for video conferencing systems. Connect all your equipment, just like you would with a docking station for your computer.The VLUSBCHUB2 is your key to effortless conferencing. Designed as a 4K USB-C Hub, it allows you to connect multiple devices via USB and share content seamlessly on a single screen. This Hub is designed to be fixed either under, or on top of, the desk to support all connections within a conference setting.;;;40m;Midrange
66;Stoltzen;;HERA HuddleHub Mini Pro;https://www.cbkgroup.se/stoltzen/136703/stoltzen-hera-huddlehub-mini-pro-w-pd-in-4k60hz--usb-smart-power--edid-manager;https://www.cbkgroup.se/Media/Cache/Images/4/0/WEB_Image_Stoltzen_HERA_HuddleHub_Mini_Pro_w_PD_in_136703_011135214110_plid_480700.jpeg;https://www.cbkgroup.se/Media/Cache/Images/4/0/WEB_Image_Stoltzen_HERA_HuddleHub_Mini_Pro_w_PD_in_136703_021325638311_plid_480700.jpeg;;https://www.cbkgroup.se/Media/Cache/Images/4/0/WEB_Image_Stoltzen_HERA_HuddleHub_Mini_Pro_w_PD_in_136703_04-2131525889_plid_480700.jpeg;1;100W;DP-Alt mode;Yes;Basic bent sheet metal;1;Yes;Yes;Yes;10m*;2, 3, 5m, 10m usb-c cable;Yes;The HuddleHub Mini is a small but useful USB-C device that can act as a focal point in the smallest conference and meeting rooms. This box enables the sharing of a screen image with up to 4K 60hz resolution, at the same time that several USB devices such as speakers, camera,speakerphone etc. are connected together under the table, and hides all connections from the user. With a USB-C cable of up to 10 meters, you can reach the entire table with the connection cable, and easily and problem-free share images and content with internal and external meeting participants.;;Seems to be a direct but bad copy of Unisynk Dock, 10m usb-c is a dream scenario, active cable reduces the possibilities die to Host and Tiers in USB chain and differt computers.;25m;Midrange
